Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,Time of Connect,CarInsurance
20,50,blue-collar,married,primary,0,82,0,0,telephone,5,apr,1,-1,0,,10.34.08 AM,10.41.44,0.07.36,1
21,57,blue-collar,married,secondary,0,773,1,1,,18,jun,8,-1,0,,9.05.50 AM,9.07.27,0.01.37,0
22,80,retired,married,secondary,0,8304,0,0,telephone,8,sep,3,91,13,success,5.37.41 AM,5.47.47,0.10.06,1
23,31,manullgement,single,tertiary,0,0,0,0,cellular,21,aug,2,-1,0,,2.28.54 AM,2.32.32,0.03.38,0
24,63,retired,married,secondary,0,2896,0,0,cellular,1,jul,1,119,2,success,3.37.19 AM,3.42.23,0.05.04,1
25,60,technician,married,secondary,0,824,1,0,cellular,9,feb,1,558,7,other,4.30.52 AM,4.32.59,0.02.07,1
26,29,manullgement,married,tertiary,0,900,0,0,cellular,17,jul,2,-1,0,,5.06.47 AM,5.11.22,0.04.35,0
27,54,manullgement,married,primary,0,3859,0,1,cellular,20,nov,3,-1,0,,10.09.02 AM,10.10.46,0.01.44,0
28,45,,divorced,,0,0,0,0,cellular,21,apr,3,-1,0,,12.33.22 PM,12.38.00,0.04.38,1
29,34,services,married,secondary,0,-62,1,0,,16,jun,3,-1,0,,1.50.40 AM,1.52.29,0.01.49,0
30,42,blue-collar,married,primary,0,832,0,0,,20,jun,14,-1,0,,10.36.52 AM,10.37.05,0.00.13,0
31,54,technician,married,secondary,0,0,0,0,telephone,30,apr,3,84,3,success,11.49.24 AM,12.02.10,0.12.46,1
32,32,admin.,single,secondary,0,6981,1,0,cellular,2,jun,1,194,3,failure,10.23.34 AM,10.26.08,0.02.34,0
33,57,retired,single,tertiary,0,842,0,0,cellular,13,aug,3,-1,0,,10.56.13 AM,11.00.57,0.04.44,1
34,36,manullgement,divorced,tertiary,0,1057,0,0,cellular,5,feb,2,-1,0,,3.36.06 AM,3.42.29,0.06.23,0
35,34,blue-collar,single,secondary,0,1698,1,0,,27,may,7,-1,0,,1.48.54 AM,1.49.33,0.00.39,0
36,39,blue-collar,married,secondary,0,300,1,0,cellular,14,may,1,-1,0,,2.50.44 AM,2.59.10,0.08.26,0
37,31,blue-collar,married,secondary,0,664,1,1,,21,may,3,-1,0,,11.03.37 AM,11.20.04,0.16.27,0
38,33,admin.,married,secondary,0,0,1,0,cellular,30,jul,5,-1,0,,3.55.55 AM,3.56.36,0.00.41,0
39,41,blue-collar,divorced,primary,0,138,1,0,cellular,18,jul,3,-1,0,,1.13.21 AM,1.24.01,0.10.40,1
40,35,admin.,married,secondary,0,216,1,1,cellular,17,nov,3,-1,0,,3.33.58 AM,3.35.08,0.01.10,0
41,32,manullgement,married,secondary,0,3935,1,0,,29,may,2,-1,0,,5.09.51 AM,5.12.00,0.02.09,0
42,40,blue-collar,married,secondary,0,327,1,0,,29,may,1,-1,0,,11.29.28 AM,11.31.42,0.02.14,0
43,35,manullgement,single,tertiary,0,2707,0,0,cellular,5,feb,1,-1,0,,9.23.59 AM,9.35.38,0.11.39,1
44,40,admin.,married,secondary,0,2574,1,0,cellular,15,may,1,176,1,failure,10.50.44 AM,10.57.56,0.07.12,1
45,60,manullgement,married,tertiary,0,70,0,0,cellular,21,aug,1,-1,0,,11.15.10 AM,11.15.46,0.00.36,0
46,35,blue-collar,single,secondary,0,0,1,0,,3,jun,3,-1,0,,4.20.13 AM,4.22.06,0.01.53,0
47,42,manullgement,divorced,secondary,0,283,1,0,cellular,23,jul,1,-1,0,,12.00.12 PM,12.12.53,0.12.41,1
48,79,retired,divorced,primary,0,79,0,0,cellular,9,oct,2,-1,0,,4.23.38 AM,4.42.04,0.18.26,1
49,46,admin.,single,secondary,0,13,0,0,,2,jun,4,-1,0,,5.02.45 AM,5.03.56,0.01.11,0
50,33,technician,divorced,secondary,0,464,0,0,cellular,4,feb,4,-1,0,,9.31.15 AM,9.34.42,0.03.27,0
51,54,services,divorced,,0,0,1,0,cellular,16,apr,1,-1,0,,4.18.17 AM,4.22.40,0.04.23,0
52,46,housemaid,married,primary,0,17,0,0,,17,jun,1,-1,0,,10.33.05 AM,10.34.17,0.01.12,0
53,47,self-employed,married,secondary,0,4420,1,1,cellular,20,nov,1,-1,0,,1.17.32 AM,1.25.06,0.07.34,1
54,78,retired,married,,0,3208,0,0,telephone,20,may,3,-1,0,,4.00.27 AM,4.06.18,0.05.51,1
55,31,blue-collar,married,secondary,0,326,0,1,cellular,29,jan,1,-1,0,,9.59.19 AM,10.01.23,0.02.04,0
56,39,services,married,secondary,0,52,0,0,telephone,2,feb,3,-1,0,,4.04.36 AM,4.28.16,0.23.40,1
57,31,admin.,married,secondary,0,457,1,0,cellular,21,nov,1,171,5,failure,2.28.33 AM,2.33.16,0.04.43,0
58,46,entrepreneur,divorced,secondary,0,1187,0,1,cellular,13,oct,1,327,1,failure,5.42.06 AM,5.43.38,0.01.32,0
59,34,manullgement,single,,0,6013,1,0,cellular,18,may,1,-1,0,,1.52.00 AM,2.02.12,0.10.12,1
60,52,unemployed,married,secondary,0,5091,0,0,cellular,26,may,1,-1,0,,12.25.24 PM,12.30.33,0.05.09,0
61,36,manullgement,divorced,tertiary,0,0,0,0,cellular,28,aug,4,-1,0,,3.13.44 AM,3.15.05,0.01.21,0
62,39,entrepreneur,married,secondary,0,11887,0,0,cellular,18,nov,2,-1,0,,4.56.27 AM,5.16.08,0.19.41,1
63,18,student,single,primary,0,608,0,0,cellular,12,aug,1,-1,0,,1.30.30 AM,1.34.57,0.04.27,1
64,60,services,married,secondary,0,-46,0,0,,23,may,2,-1,0,,4.36.39 AM,4.38.51,0.02.12,0
65,36,services,single,secondary,0,0,1,0,cellular,15,may,4,-1,0,,9.43.23 AM,10.00.05,0.16.42,1
66,57,manullgement,married,tertiary,0,473,0,0,cellular,1,jun,1,-1,0,,2.55.01 AM,2.59.56,0.04.55,1
67,28,blue-collar,single,secondary,0,1955,0,0,cellular,29,jan,1,-1,0,,12.28.55 PM,12.29.20,0.00.25,0
68,30,manullgement,married,tertiary,0,860,1,0,cellular,20,apr,1,-1,0,,10.53.09 AM,10.56.14,0.03.05,0
69,41,blue-collar,married,secondary,0,2689,1,0,cellular,15,apr,1,-1,0,,5.24.03 AM,5.26.18,0.02.15,1
70,58,manullgement,married,tertiary,0,3768,1,0,,18,jun,1,-1,0,,5.14.32 AM,5.19.48,0.05.16,0
71,23,housemaid,married,tertiary,0,66,1,0,cellular,7,may,2,-1,0,,9.25.35 AM,9.48.46,0.23.11,1
72,29,admin.,married,secondary,0,494,1,0,,26,may,2,-1,0,,2.51.53 AM,2.57.34,0.05.41,0
73,25,technician,single,secondary,0,1298,0,0,cellular,2,sep,7,94,2,other,2.02.27 AM,2.05.53,0.03.26,0
74,39,blue-collar,married,secondary,0,0,1,0,,29,may,3,-1,0,,1.50.30 AM,1.53.59,0.03.29,0
75,45,technician,divorced,tertiary,0,0,0,0,cellular,27,aug,4,-1,0,,5.29.40 AM,5.30.38,0.00.58,0
76,55,technician,divorced,secondary,0,3450,0,0,cellular,10,feb,1,183,1,failure,1.29.13 AM,1.32.02,0.02.49,1
77,32,technician,married,tertiary,0,903,1,0,cellular,23,jun,1,320,1,other,11.55.36 AM,11.58.37,0.03.01,0
78,36,manullgement,married,tertiary,0,722,1,0,,30,may,1,-1,0,,1.20.59 AM,1.26.11,0.05.12,0
79,34,manullgement,single,tertiary,0,11350,1,0,cellular,15,may,1,176,1,failure,3.14.20 AM,3.16.53,0.02.33,0
80,39,technician,single,secondary,0,556,1,0,,29,may,1,-1,0,,3.54.02 AM,3.59.24,0.05.22,0
81,49,admin.,single,secondary,0,716,1,0,,15,may,3,-1,0,,11.50.19 AM,12.11.16,0.20.57,1
82,37,technician,married,tertiary,0,143,0,0,cellular,27,aug,6,-1,0,,9.17.05 AM,9.18.02,0.00.57,0
83,47,blue-collar,married,secondary,0,802,1,1,cellular,12,may,2,-1,0,,2.56.02 AM,3.00.51,0.04.49,1
84,49,retired,single,primary,0,25824,0,0,,17,jun,1,-1,0,,10.54.42 AM,10.56.16,0.01.34,0
85,49,unemployed,married,primary,0,518,0,0,cellular,29,jan,2,-1,0,,9.49.16 AM,10.21.13,0.31.57,1
86,34,admin.,divorced,secondary,0,0,0,0,cellular,10,jul,1,-1,0,,5.50.22 AM,5.54.50,0.04.28,0
87,40,blue-collar,married,secondary,1,-94,1,1,,7,may,1,-1,0,,11.24.19 AM,11.28.06,0.03.47,0
88,33,services,married,secondary,0,210,1,0,cellular,13,may,2,-1,0,,11.48.53 AM,12.09.00,0.20.07,1
89,40,admin.,single,secondary,0,60,1,0,cellular,15,may,3,352,6,other,4.43.03 AM,4.50.43,0.07.40,0
90,41,entrepreneur,single,secondary,0,663,0,0,cellular,24,jul,1,-1,0,,10.52.25 AM,11.12.29,0.20.04,1
91,56,manullgement,married,tertiary,0,830,1,1,,6,may,1,-1,0,,5.54.01 AM,6.14.02,0.20.01,1
92,33,blue-collar,single,secondary,0,-147,1,0,,30,may,2,-1,0,,4.00.27 AM,4.11.19,0.10.52,0
93,43,blue-collar,divorced,primary,0,6,1,0,,27,may,4,-1,0,,12.01.04 PM,12.02.56,0.01.52,0
94,46,services,divorced,secondary,0,1263,1,0,telephone,21,nov,2,-1,0,,2.35.34 AM,2.39.14,0.03.40,0
95,39,blue-collar,married,secondary,0,293,1,0,,23,may,3,-1,0,,2.48.50 AM,2.51.30,0.02.40,0
96,44,manullgement,married,tertiary,0,446,0,0,cellular,25,jul,12,-1,0,,9.29.22 AM,9.30.25,0.01.03,0
97,48,manullgement,divorced,tertiary,0,657,0,1,cellular,29,jan,2,-1,0,,4.59.18 AM,5.03.29,0.04.11,0
98,39,blue-collar,single,tertiary,0,48,0,0,cellular,3,jun,1,-1,0,,2.55.41 AM,3.04.40,0.08.59,1
99,46,blue-collar,married,primary,0,3969,0,0,telephone,7,jul,5,-1,0,,12.42.06 PM,12.42.52,0.00.46,0
100,19,student,single,primary,0,103,0,0,cellular,18,jan,2,95,4,failure,12.07.08 PM,12.10.05,0.02.57,0
101,36,manullgement,married,tertiary,0,753,0,0,cellular,16,apr,4,-1,0,,2.01.15 AM,2.02.31,0.01.16,0
102,43,technician,married,secondary,0,3285,1,0,,13,may,2,-1,0,,11.00.26 AM,11.29.07,0.28.41,1
103,46,technician,married,secondary,0,9299,0,0,cellular,19,jul,1,276,2,other,3.58.44 AM,4.17.52,0.19.08,1
104,56,retired,married,primary,0,9367,0,0,cellular,4,may,2,-1,0,,3.33.30 AM,3.43.47,0.10.17,1
105,57,manullgement,married,secondary,0,7162,0,0,cellular,17,nov,1,-1,0,,9.04.38 AM,9.06.01,0.01.23,0
106,33,technician,married,tertiary,0,1699,0,0,cellular,4,aug,1,-1,0,,5.40.32 AM,5.50.32,0.10.00,1
107,41,admin.,married,secondary,0,437,1,0,cellular,2,feb,1,-1,0,,3.36.46 AM,3.39.04,0.02.18,0
108,31,manullgement,married,tertiary,0,69,0,0,cellular,20,aug,2,-1,0,,10.53.20 AM,10.56.35,0.03.15,0
109,52,manullgement,married,tertiary,0,388,0,0,cellular,25,may,1,-1,0,,10.43.50 AM,10.48.22,0.04.32,1
110,48,blue-collar,single,secondary,0,339,0,1,telephone,14,jul,4,-1,0,,9.09.36 AM,9.11.39,0.02.03,0
111,55,blue-collar,married,secondary,0,49,1,0,cellular,7,jul,4,-1,0,,1.53.23 AM,2.01.37,0.08.14,1
112,50,technician,married,secondary,0,3370,0,0,cellular,2,jun,2,-1,0,,9.39.02 AM,9.41.42,0.02.40,1
113,33,blue-collar,single,secondary,0,-366,1,0,,28,may,4,-1,0,,12.21.46 PM,12.23.07,0.01.21,0
114,31,manullgement,married,tertiary,0,2667,1,0,cellular,2,mar,2,-1,0,,3.56.53 AM,3.58.06,0.01.13,0
115,33,admin.,married,tertiary,0,899,1,0,,26,may,3,-1,0,,1.13.32 AM,1.16.11,0.02.39,0
116,31,manullgement,married,tertiary,0,1331,0,0,cellular,30,apr,1,86,3,success,10.34.28 AM,10.39.25,0.04.57,1
117,37,services,married,secondary,0,4151,1,1,cellular,30,jul,4,-1,0,,4.23.41 AM,4.32.44,0.09.03,1
118,62,retired,married,secondary,0,569,0,0,cellular,4,feb,5,184,1,success,5.49.48 AM,5.51.22,0.01.34,1
119,33,manullgement,married,tertiary,0,1514,0,0,cellular,10,aug,1,728,2,failure,2.38.11 AM,2.45.38,0.07.27,1
120,40,manullgement,married,tertiary,1,0,0,0,cellular,28,jul,5,-1,0,,1.33.23 AM,1.36.08,0.02.45,0
121,37,technician,single,tertiary,0,6101,0,0,cellular,6,feb,1,-1,0,,11.44.15 AM,11.46.36,0.02.21,1
122,46,manullgement,divorced,tertiary,0,461,0,0,cellular,30,dec,2,-1,0,,10.08.32 AM,10.14.41,0.06.09,1
123,64,entrepreneur,married,tertiary,0,2331,0,0,telephone,9,nov,1,-1,0,,1.54.34 AM,1.57.55,0.03.21,1
124,43,unemployed,married,primary,0,519,0,0,,20,jun,2,-1,0,,2.40.48 AM,2.57.01,0.16.13,1
125,57,blue-collar,married,primary,0,3109,0,0,cellular,15,sep,2,105,2,success,4.20.13 AM,4.22.00,0.01.47,1
126,58,retired,divorced,primary,0,11,0,1,cellular,10,jul,5,-1,0,,9.10.06 AM,9.12.47,0.02.41,0
127,32,technician,divorced,tertiary,0,53,0,0,cellular,22,aug,2,-1,0,,3.18.48 AM,3.29.59,0.11.11,1
128,43,blue-collar,married,secondary,0,699,1,1,cellular,20,nov,2,122,2,other,12.28.18 PM,12.49.16,0.20.58,1
129,30,student,single,tertiary,0,3300,0,0,cellular,21,nov,1,-1,0,,9.39.08 AM,10.05.19,0.26.11,1
131,56,manullgement,married,tertiary,0,318,0,1,telephone,9,jul,3,-1,0,,9.00.50 AM,9.04.56,0.04.06,0
132,44,manullgement,married,,0,2724,0,0,cellular,28,dec,1,-1,0,,2.48.36 AM,3.03.29,0.14.53,1
133,61,manullgement,married,tertiary,0,5157,0,0,cellular,13,mar,1,-1,0,,2.49.47 AM,2.56.59,0.07.12,0
134,37,technician,divorced,tertiary,0,1762,1,0,cellular,16,apr,1,317,1,failure,3.20.49 AM,3.25.58,0.05.09,0
135,56,retired,married,secondary,0,343,0,1,cellular,9,jul,1,-1,0,,12.13.08 PM,12.14.25,0.01.17,0
136,46,admin.,married,secondary,0,368,0,0,cellular,20,aug,1,90,4,other,1.37.21 AM,1.42.14,0.04.53,1
137,39,manullgement,divorced,tertiary,0,1968,0,0,cellular,21,nov,1,-1,0,,2.54.56 AM,3.05.44,0.10.48,1
138,27,services,single,secondary,0,302,0,0,cellular,3,jul,1,-1,0,,11.43.28 AM,11.46.51,0.03.23,1
139,33,blue-collar,single,primary,0,60,1,0,cellular,14,may,1,290,2,failure,2.36.30 AM,2.37.44,0.01.14,0
140,52,technician,married,tertiary,0,0,0,0,cellular,9,aug,3,94,4,success,4.32.21 AM,4.34.46,0.02.25,0
141,45,blue-collar,married,secondary,0,3092,1,1,cellular,12,may,2,-1,0,,11.53.00 AM,11.56.00,0.03.00,0
142,30,unemployed,single,secondary,0,1058,0,0,cellular,4,feb,1,-1,0,,10.40.58 AM,10.49.33,0.08.35,0
143,46,services,married,secondary,0,53,0,1,cellular,28,jul,3,-1,0,,2.48.33 AM,2.49.04,0.00.31,0
144,32,services,single,secondary,0,-402,1,0,cellular,17,apr,1,-1,0,,2.38.19 AM,2.40.34,0.02.15,0
145,62,entrepreneur,married,secondary,0,3904,0,0,telephone,29,jan,2,-1,0,,3.27.45 AM,3.34.28,0.06.43,1
146,24,student,single,secondary,0,1123,0,0,cellular,13,jul,1,412,1,other,11.54.26 AM,12.02.21,0.07.55,1
147,47,manullgement,single,tertiary,0,159,0,0,telephone,29,oct,3,155,3,other,4.29.33 AM,4.33.13,0.03.40,1
148,32,blue-collar,single,secondary,0,5,1,1,,8,may,1,-1,0,,1.07.31 AM,1.09.45,0.02.14,0
149,38,blue-collar,married,primary,0,3289,0,0,,9,jun,2,-1,0,,1.51.31 AM,2.00.44,0.09.13,0
150,36,technician,single,tertiary,0,391,1,0,cellular,15,may,1,350,8,failure,10.01.23 AM,10.04.28,0.03.05,0
151,57,manullgement,divorced,,0,854,0,0,cellular,27,aug,4,92,1,failure,10.43.06 AM,10.54.46,0.11.40,1
152,73,retired,divorced,secondary,0,7111,1,0,cellular,12,oct,1,-1,0,,10.02.40 AM,10.05.06,0.02.26,1
153,55,technician,divorced,tertiary,0,0,1,0,,30,may,1,-1,0,,12.47.28 PM,12.51.22,0.03.54,0
154,57,blue-collar,married,primary,0,3109,0,0,cellular,2,jun,2,-1,0,,3.48.27 AM,3.56.29,0.08.02,1
155,25,unemployed,single,primary,0,129,0,0,cellular,12,apr,3,-1,0,,9.58.20 AM,10.01.16,0.02.56,1
156,62,retired,married,secondary,0,569,0,0,cellular,4,aug,1,1,8,success,5.08.06 AM,5.12.54,0.04.48,1
157,45,technician,married,secondary,0,4466,1,0,,3,jun,1,-1,0,,1.59.32 AM,2.01.22,0.01.50,0
158,56,blue-collar,married,secondary,0,1521,1,1,cellular,21,nov,2,179,3,other,5.24.04 AM,5.24.23,0.00.19,0
159,33,manullgement,single,tertiary,0,8038,1,0,cellular,19,nov,1,-1,0,,9.40.58 AM,9.41.58,0.01.00,0
160,45,blue-collar,single,primary,0,116,0,0,,13,apr,1,-1,0,,1.49.02 AM,1.51.04,0.02.02,1
161,63,blue-collar,married,secondary,0,641,0,0,cellular,27,may,2,-1,0,,5.50.43 AM,5.57.40,0.06.57,1
162,57,retired,married,secondary,0,2020,0,0,,19,jun,4,-1,0,,4.58.34 AM,5.00.07,0.01.33,0
163,60,retired,married,secondary,0,208,0,0,cellular,20,aug,4,-1,0,,9.16.18 AM,9.17.28,0.01.10,0
164,61,self-employed,divorced,tertiary,0,52587,0,0,cellular,15,feb,3,189,1,success,4.53.39 AM,5.00.13,0.06.34,1
165,56,blue-collar,married,secondary,0,2561,0,0,,20,jun,6,-1,0,,1.03.46 AM,1.03.59,0.00.13,0
166,26,blue-collar,single,secondary,0,82,1,0,,9,may,1,-1,0,,10.04.16 AM,10.15.10,0.10.54,1
167,58,unemployed,divorced,secondary,0,729,0,1,cellular,9,feb,2,-1,0,,5.48.25 AM,5.49.25,0.01.00,0
168,46,services,married,secondary,0,273,0,0,cellular,22,aug,2,-1,0,,10.21.06 AM,10.30.31,0.09.25,1
169,28,manullgement,single,secondary,0,2840,0,0,cellular,20,apr,5,-1,0,,10.14.42 AM,10.18.29,0.03.47,1
170,57,technician,married,secondary,0,253,0,1,,3,jul,3,-1,0,,4.38.41 AM,4.42.31,0.03.50,0
171,36,technician,single,secondary,0,2921,0,0,telephone,31,jul,7,-1,0,,10.46.54 AM,10.47.49,0.00.55,0
172,44,blue-collar,married,secondary,0,16178,1,0,cellular,21,nov,1,-1,0,,1.55.29 AM,2.00.26,0.04.57,0
173,54,services,divorced,secondary,0,0,0,0,cellular,18,mar,1,290,3,success,9.10.43 AM,9.16.45,0.06.02,1
174,38,technician,married,secondary,0,557,1,0,cellular,16,nov,4,-1,0,,11.41.55 AM,12.07.51,0.25.56,1
175,34,manullgement,single,tertiary,0,4348,1,0,cellular,28,aug,8,-1,0,,9.34.44 AM,9.40.57,0.06.13,0
176,27,services,single,secondary,0,683,1,0,,9,may,3,-1,0,,11.14.40 AM,11.15.24,0.00.44,0
177,29,self-employed,single,tertiary,0,1579,0,0,cellular,13,oct,1,92,5,success,10.19.56 AM,10.23.06,0.03.10,1
178,31,blue-collar,married,tertiary,0,2827,1,0,,8,may,3,-1,0,,9.18.31 AM,9.22.29,0.03.58,0
179,50,technician,divorced,secondary,0,0,0,0,cellular,29,sep,1,120,2,failure,9.30.25 AM,9.33.04,0.02.39,1
180,60,retired,married,tertiary,0,108,0,0,cellular,26,aug,1,-1,0,,11.56.00 AM,12.06.24,0.10.24,1
181,32,services,married,secondary,0,243,1,1,,6,may,1,-1,0,,2.49.11 AM,2.51.35,0.02.24,0
182,36,services,married,secondary,0,-27,1,1,cellular,7,jul,4,-1,0,,12.12.43 PM,12.15.14,0.02.31,0
183,45,admin.,married,secondary,0,205,0,0,cellular,4,may,1,90,2,success,5.21.58 AM,5.31.10,0.09.12,1
184,40,technician,divorced,tertiary,0,0,0,0,,17,jun,1,-1,0,,11.05.32 AM,11.14.14,0.08.42,1
185,38,technician,married,secondary,0,497,0,0,,14,apr,1,-1,0,,10.46.03 AM,10.48.56,0.02.53,1
186,30,manullgement,single,tertiary,0,985,1,0,cellular,25,oct,1,94,2,success,12.09.48 PM,12.14.52,0.05.04,1
187,31,manullgement,married,tertiary,0,3739,0,0,cellular,11,aug,3,-1,0,,10.10.02 AM,10.11.59,0.01.57,0
188,28,manullgement,single,tertiary,0,6784,0,0,cellular,1,oct,1,115,3,other,2.02.32 AM,2.10.54,0.08.22,1
189,49,blue-collar,divorced,primary,0,-9,1,1,,5,may,1,-1,0,,4.54.35 AM,5.01.04,0.06.29,0
190,34,self-employed,married,tertiary,0,0,0,0,cellular,28,aug,11,-1,0,,11.25.10 AM,11.37.20,0.12.10,1
191,51,blue-collar,divorced,secondary,0,113,0,0,cellular,15,may,3,-1,0,,9.38.11 AM,9.39.22,0.01.11,0
192,35,unemployed,divorced,primary,0,118,0,0,,20,jun,4,-1,0,,4.57.51 AM,4.58.03,0.00.12,0
193,41,student,single,secondary,0,595,1,0,,18,sep,1,107,2,success,2.43.39 AM,2.44.01,0.00.22,0
194,49,housemaid,married,primary,0,0,0,0,telephone,9,jul,1,-1,0,,10.35.31 AM,10.37.17,0.01.46,0
195,33,manullgement,single,tertiary,0,3143,0,0,cellular,29,jun,2,-1,0,,4.01.11 AM,4.08.12,0.07.01,1
196,53,admin.,married,secondary,0,53,1,0,cellular,18,may,1,-1,0,,11.51.17 AM,11.57.44,0.06.27,1
197,45,manullgement,married,tertiary,0,1447,1,1,cellular,7,jul,2,-1,0,,5.49.12 AM,5.56.53,0.07.41,0
198,36,self-employed,divorced,tertiary,0,6385,1,0,cellular,21,nov,2,-1,0,,1.21.55 AM,1.23.05,0.01.10,0
199,43,manullgement,married,tertiary,0,3186,0,0,cellular,16,nov,1,88,1,failure,3.07.14 AM,3.13.34,0.06.20,1
200,31,blue-collar,married,primary,0,290,1,0,cellular,15,may,1,291,3,failure,12.06.11 PM,12.08.39,0.02.28,0
201,56,blue-collar,married,primary,0,8163,0,0,cellular,14,aug,4,-1,0,,10.49.49 AM,11.10.20,0.20.31,1
202,48,admin.,married,secondary,0,13551,0,0,,11,jun,3,-1,0,,9.23.19 AM,9.24.48,0.01.29,0
203,40,technician,single,tertiary,0,431,0,0,cellular,7,jul,2,-1,0,,5.11.55 AM,5.14.55,0.03.00,1
204,60,admin.,married,secondary,0,711,0,0,cellular,12,aug,4,-1,0,,11.28.17 AM,11.34.12,0.05.55,0
205,45,admin.,married,secondary,0,0,0,0,cellular,14,aug,2,-1,0,,9.28.25 AM,9.30.18,0.01.53,0
206,45,technician,single,,0,7108,1,1,,30,may,3,-1,0,,1.22.02 AM,1.42.14,0.20.12,0
207,55,technician,divorced,secondary,1,4,0,0,cellular,28,jan,1,-1,0,,3.22.04 AM,3.39.32,0.17.28,1
208,41,blue-collar,married,primary,0,3658,1,0,cellular,9,apr,1,330,1,failure,3.06.29 AM,3.10.57,0.04.28,0
209,46,manullgement,married,tertiary,0,699,0,0,cellular,30,apr,1,87,1,failure,1.49.36 AM,2.05.46,0.16.10,1
210,41,entrepreneur,married,secondary,0,8491,1,0,cellular,18,nov,1,-1,0,,11.27.47 AM,11.43.16,0.15.29,1
211,51,admin.,married,secondary,0,423,1,1,cellular,16,jul,5,183,2,failure,9.05.35 AM,9.06.59,0.01.24,0
212,55,technician,divorced,tertiary,0,0,0,0,cellular,17,nov,2,91,1,success,9.38.42 AM,9.40.56,0.02.14,1
213,34,services,married,secondary,0,790,1,0,cellular,20,apr,2,350,1,failure,1.15.22 AM,1.25.01,0.09.39,0
214,40,admin.,married,secondary,0,341,0,0,cellular,31,jul,5,-1,0,,12.18.41 PM,12.37.43,0.19.02,1
215,31,unemployed,single,secondary,0,582,1,0,cellular,5,jun,2,-1,0,,2.53.34 AM,3.02.42,0.09.08,1
216,32,manullgement,single,tertiary,0,623,0,0,cellular,6,jul,3,194,2,failure,10.53.19 AM,10.58.54,0.05.35,1
217,37,services,single,secondary,0,1045,0,0,cellular,4,feb,1,-1,0,,1.33.29 AM,1.38.30,0.05.01,0
218,31,services,married,secondary,0,0,1,0,cellular,29,jan,2,-1,0,,4.39.03 AM,4.42.47,0.03.44,0
219,56,retired,married,tertiary,0,281,0,0,cellular,3,mar,2,-1,0,,5.26.47 AM,5.28.23,0.01.36,1
220,26,blue-collar,single,primary,0,-295,1,0,cellular,6,may,1,-1,0,,9.51.59 AM,9.54.17,0.02.18,0
221,45,manullgement,married,tertiary,0,160,0,0,cellular,10,nov,2,194,1,success,11.56.01 AM,11.59.03,0.03.02,1
222,32,manullgement,married,secondary,0,134,1,1,cellular,15,may,3,-1,0,,11.52.39 AM,12.01.31,0.08.52,1
